frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
70,False,False,0.000000,0.000000,1.530000,0.000000,193.169998,2.950000,0.000000,147.330002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
71,True,True,-1.000000,0.090000,5.710000,0.000000,194.349991,501.079987,0.000000,141.910004,-0.000763,0.016149,0.000040,0.999869,-0.183100,1.858300,0.010900
72,False,False,1.000000,0.000000,9.889999,0.000000,195.489990,501.079987,0.000000,136.489990,-0.002258,0.031444,0.000084,0.999503,-0.359200,3.672000,0.013600
73,False,False,1.000000,0.000000,14.070000,0.000000,196.580002,501.079987,0.000000,131.069992,-0.004459,0.054096,0.000132,0.998526,-0.528400,5.442200,0.016100
74,False,False,1.000000,0.000000,18.250000,0.000000,197.629990,501.079987,0.000000,125.649994,-0.007329,0.083898,0.000186,0.996447,-0.527500,5.474600,0.013800
75,False,False,1.000000,0.000000,22.430000,0.000000,198.629990,501.079987,0.000000,120.229996,-0.010194,0.113758,0.000229,0.993456,-0.524700,5.474800,0.011900
76,False,False,1.000000,0.000000,26.609999,0.000000,199.589996,501.079987,0.000000,114.809998,-0.013037,0.135844,0.000343,0.990644,-0.682500,5.343900,0.051100
77,False,False,1.000000,0.000000,30.789999,0.000000,200.500000,501.079987,0.000000,109.389999,-0.016516,0.157337,0.000553,0.987407,-0.832100,5.216300,0.096200
78,False,False,1.000000,0.000000,34.969997,0.000000,201.369995,501.079987,0.000000,103.970001,-0.020600,0.178242,0.000871,0.983771,-0.973600,5.091900,0.146700
79,False,False,1.000000,0.000000,39.149998,0.000000,202.190002,501.079987,0.000000,98.549995,-0.025267,0.198564,0.001303,0.979761,-1.107000,4.970700,0.201900
80,False,False,1.000000,0.000000,43.329998,0.000000,202.970001,501.079987,0.000000,93.129997,-0.030483,0.218309,0.001859,0.975401,-1.232600,4.852700,0.261300
81,False,False,1.000000,0.000000,47.509998,0.000000,203.699997,501.079987,0.000000,87.709999,-0.036223,0.237488,0.002549,0.970711,-1.350400,4.737900,0.324400
82,False,False,1.000000,0.000000,51.689999,0.000000,204.389999,501.079987,0.000000,82.290001,-0.042460,0.256105,0.003380,0.965710,-1.460700,4.626300,0.390800
83,False,False,1.000000,0.000000,55.869999,0.000000,205.029999,501.079987,0.000000,76.869995,-0.049171,0.274173,0.004362,0.960413,-1.563600,4.517800,0.460000
84,False,False,1.000000,0.000000,60.049999,0.000000,205.629990,501.079987,0.000000,71.449997,-0.056330,0.291695,0.005495,0.954835,-1.659400,4.412400,0.531600
85,False,False,1.000000,0.000000,64.229996,0.000000,206.179993,501.079987,0.000000,66.029999,-0.063910,0.308683,0.006789,0.948991,-1.748200,4.310100,0.605300
86,False,False,1.000000,0.000000,68.409996,0.000000,206.690002,501.079987,0.000000,60.609997,-0.071889,0.325143,0.008246,0.942892,-1.830200,4.210800,0.680700
87,False,False,1.000000,0.000000,72.589996,0.000000,207.149994,501.079987,0.000000,55.189999,-0.080245,0.341085,0.009870,0.936549,-1.905700,4.114600,0.757400
88,False,False,1.000000,0.000000,76.769997,0.000000,207.559998,501.079987,0.000000,49.770000,-0.088958,0.356519,0.011666,0.929970,-1.974900,4.021400,0.835200
89,False,False,1.000000,0.000000,80.949997,0.000000,207.779999,501.079987,0.000000,26.930000,-0.098005,0.371447,0.013635,0.923167,-2.038000,3.931200,0.913800
90,False,False,1.000000,0.000000,85.129997,0.000000,207.879990,501.079987,0.000000,12.080000,-0.107365,0.385883,0.015777,0.916143,-2.095300,3.843900,0.992900
91,False,False,1.000000,0.000000,89.309998,0.000000,207.899994,501.079987,0.000000,2.430000,-0.117016,0.399829,0.018097,0.908910,-2.146900,3.759600,1.072300
92,False,False,1.000000,0.000000,93.489998,0.000000,207.869995,501.079987,0.000000,-3.830000,-0.126943,0.413294,0.020595,0.901471,-2.193100,3.678200,1.151700
93,False,False,1.000000,0.000000,97.669998,0.000000,207.799988,501.079987,0.000000,-7.900000,-0.137123,0.426285,0.023271,0.893833,-2.234200,3.599700,1.231000
94,False,False,1.000000,0.000000,101.849998,0.000000,207.709991,501.079987,0.000000,-10.550000,-0.147540,0.438812,0.026124,0.885999,-2.270300,3.524000,1.310000
95,False,False,1.000000,0.000000,106.029999,0.000000,207.610001,501.079987,0.000000,-12.270000,-0.158173,0.450874,0.029162,0.877977,-2.301700,3.451100,1.388500
96,False,False,1.000000,0.000000,110.209999,0.000000,207.500000,501.079987,0.000000,-13.389999,-0.169012,0.462484,0.032377,0.869767,-2.328600,3.381000,1.466300
97,False,False,1.000000,0.000000,114.389999,0.000000,207.379990,501.079987,0.000000,-14.120000,-0.180033,0.473646,0.035765,0.861376,-2.351200,3.313700,1.543300
98,False,False,1.000000,0.000000,118.570000,0.000000,207.259995,501.079987,0.000000,-14.589999,-0.191222,0.484366,0.039331,0.852805,-2.369700,3.249100,1.619400
99,False,False,1.000000,0.000000,122.750000,0.000000,207.139999,501.079987,0.000000,-14.900000,-0.202562,0.494653,0.043075,0.844056,-2.384300,3.187200,1.694500
100,False,False,1.000000,0.000000,126.930000,0.000000,207.009995,501.079987,0.000000,-15.099999,-0.214037,0.504510,0.046992,0.835135,-2.395200,3.127900,1.768400
101,False,False,1.000000,0.000000,131.110001,0.000000,206.879990,501.079987,0.000000,-15.230000,-0.225630,0.513945,0.051081,0.826040,-2.402700,3.071200,1.841100
102,False,False,1.000000,0.000000,135.289993,0.000000,206.750000,501.079987,0.000000,-15.309999,-0.237331,0.522960,0.055337,0.816777,-2.406900,3.017100,1.912500
103,False,False,1.000000,0.000000,139.470001,0.000000,206.619995,501.079987,0.000000,-15.360000,-0.249125,0.531565,0.059761,0.807344,-2.408000,2.965500,1.982500
104,False,False,1.000000,0.000000,143.649994,0.000000,206.489990,501.079987,0.000000,-15.400000,-0.260993,0.539759,0.064347,0.797748,-2.406200,2.916400,2.051100
105,False,False,1.000000,0.000000,147.830002,0.000000,206.360001,501.079987,0.000000,-15.420000,-0.272926,0.547550,0.069094,0.787989,-2.401600,2.869700,2.118200
106,False,False,1.000000,0.000000,152.009995,0.000000,206.229996,501.079987,0.000000,-15.429999,-0.284914,0.554946,0.074003,0.778063,-2.394400,2.825400,2.183700
107,False,False,1.000000,0.000000,156.190002,0.000000,206.099991,501.079987,0.000000,-15.440000,-0.296939,0.561948,0.079069,0.767977,-2.384800,2.783500,2.247600
108,False,False,1.000000,0.000000,160.369995,0.000000,205.970001,501.079987,0.000000,-15.450000,-0.308991,0.568562,0.084286,0.757732,-2.373000,2.743800,2.309800
109,False,False,1.000000,0.000000,164.550003,0.000000,205.839996,501.079987,0.000000,-15.450000,-0.321054,0.574793,0.089654,0.747328,-2.359100,2.706400,2.370400
110,False,False,1.000000,0.000000,168.729996,0.000000,205.709991,501.079987,0.000000,-15.450000,-0.333116,0.580641,0.095167,0.736771,-2.343300,2.671200,2.429300
111,False,False,1.000000,0.000000,172.910004,0.000000,205.580002,501.079987,0.000000,-15.450000,-0.345174,0.586117,0.100821,0.726056,-2.325700,2.638100,2.486500
112,False,False,1.000000,0.000000,177.089996,0.000000,205.449997,501.079987,0.000000,-15.450000,-0.357210,0.591221,0.106610,0.715188,-2.306500,2.607100,2.541900
113,False,False,1.000000,0.000000,181.269989,0.000000,205.319992,501.079987,0.000000,-15.450000,-0.369213,0.595957,0.112533,0.704168,-2.285800,2.578100,2.595600
114,False,False,1.000000,0.000000,185.449997,0.000000,205.190002,501.079987,0.000000,-15.450000,-0.381173,0.600332,0.118586,0.692997,-2.263700,2.551100,2.647600
115,False,False,1.000000,0.000000,189.629990,0.000000,205.059998,501.079987,0.000000,-15.450000,-0.393080,0.604352,0.124763,0.681675,-2.240300,2.526100,2.697800
116,False,False,1.000000,0.000000,193.809998,0.000000,204.929993,501.079987,0.000000,-15.450000,-0.404921,0.608015,0.131064,0.670208,-2.215800,2.503000,2.746300
117,False,False,1.000000,0.000000,197.989990,0.000000,204.799988,501.079987,0.000000,-15.450000,-0.416693,0.611327,0.137479,0.658594,-2.190300,2.481700,2.793000
118,False,False,1.000000,0.000000,202.169998,0.000000,204.669998,501.079987,0.000000,-15.450000,-0.428384,0.614294,0.144007,0.646832,-2.163900,2.462200,2.838000
119,False,False,1.000000,0.000000,206.349991,0.000000,204.539993,501.079987,0.000000,-15.450000,-0.439982,0.616922,0.150642,0.634925,-2.136700,2.444400,2.881300
120,False,False,1.000000,0.000000,210.529999,0.000000,204.409988,501.079987,0.000000,-15.450000,-0.451479,0.619209,0.157380,0.622879,-2.108800,2.428300,2.922900
121,False,False,1.000000,0.000000,214.709991,0.000000,204.279999,501.079987,0.000000,-15.450000,-0.462862,0.621167,0.164215,0.610691,-2.080300,2.413800,2.962800
122,False,False,1.000000,0.000000,218.889999,0.000000,204.149994,501.079987,0.000000,-15.450000,-0.474132,0.622786,0.171148,0.598369,-2.051300,2.400800,3.001000
123,False,False,1.000000,0.000000,223.069992,0.000000,204.019989,501.079987,0.000000,-15.450000,-0.485272,0.624079,0.178167,0.585912,-2.021900,2.389300,3.037600
124,False,False,1.000000,0.000000,227.250000,0.000000,203.889999,501.079987,0.000000,-15.450000,-0.496277,0.625051,0.185266,0.573321,-1.992200,2.379300,3.072500
125,False,False,1.000000,0.000000,231.429993,0.000000,203.759995,501.079987,0.000000,-15.450000,-0.507142,0.625703,0.192447,0.560594,-1.962200,2.370700,3.105800
126,False,False,1.000000,0.000000,235.610001,0.000000,203.629990,501.079987,0.000000,-15.450000,-0.517857,0.626035,0.199703,0.547744,-1.932000,2.363500,3.137600
127,False,False,1.000000,0.000000,239.789993,0.000000,203.500000,501.079987,0.000000,-15.450000,-0.528414,0.626057,0.207023,0.534764,-1.901800,2.357600,3.167800
128,False,False,1.000000,0.000000,243.970001,0.000000,203.369995,501.079987,0.000000,-15.450000,-0.538805,0.625771,0.214409,0.521660,-1.871500,2.352900,3.196500
129,False,False,1.000000,0.000000,248.149994,0.000000,203.239990,501.079987,0.000000,-15.450000,-0.549022,0.625182,0.221854,0.508432,-1.841300,2.349400,3.223700
130,False,False,1.000000,0.000000,252.330002,0.000000,203.110001,501.079987,0.000000,-15.450000,-0.559062,0.624290,0.229353,0.495085,-1.811200,2.347100,3.249400
131,False,False,1.000000,0.000000,256.509979,0.000000,202.979996,501.079987,0.000000,-15.450000,-0.568913,0.623100,0.236900,0.481625,-1.781200,2.345900,3.273700
