frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
49,False,False,False,False,0.000000,1.000000,0.500000,3.630000,159.309998,1.030000,12.990000,260.380005,-0.672639,0.002236,0.001885,0.739965,-5.499900,0.000000,0.031800
50,False,False,False,False,0.000000,1.000000,0.510000,3.740000,161.429993,1.030000,12.990000,254.959991,-0.689719,0.002188,0.001934,0.724071,-5.499900,0.000000,0.031800
51,False,False,False,False,0.000000,1.000000,0.520000,3.850000,163.509995,1.030000,12.990000,249.539993,-0.706427,0.002139,0.001983,0.707780,-5.499900,0.000000,0.031800
52,False,False,False,False,0.000000,1.000000,0.530000,3.960000,165.539993,1.030000,12.990000,244.119995,0.722748,-0.002090,-0.002026,-0.691106,-5.499900,0.000000,0.031800
53,False,False,False,False,0.000000,1.000000,0.540000,4.070000,167.529999,1.030000,12.990000,238.699997,0.738677,-0.002042,-0.002069,-0.674053,-5.499900,0.000000,0.031800
54,False,False,False,False,0.000000,1.000000,0.550000,4.180000,169.470001,1.030000,12.990000,233.279999,0.754205,-0.001988,-0.002112,-0.656633,-5.499900,0.000000,0.031800
55,False,False,False,False,0.000000,1.000000,0.560000,4.290000,171.369995,1.030000,12.990000,227.860001,0.769320,-0.001934,-0.002155,-0.638857,-5.499900,0.000000,0.031800
56,False,False,False,False,0.000000,1.000000,0.570000,4.400000,173.220001,1.030000,12.990000,222.440002,0.784014,-0.001880,-0.002198,-0.620736,-5.499900,0.000000,0.031800
57,False,False,False,False,0.000000,1.000000,0.580000,4.510000,175.029999,1.030000,12.990000,217.019989,0.798284,-0.001826,-0.002236,-0.602275,-5.499900,0.000000,0.031800
58,False,False,False,False,0.000000,1.000000,0.590000,4.620000,176.789993,1.030000,12.990000,211.599991,0.812119,-0.001772,-0.002274,-0.583484,-5.499900,0.000000,0.031700
