frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
56,False,False,False,False,0.000000,1.000000,0.650000,4.400000,171.569992,1.630000,12.990000,222.409988,0.784001,-0.003002,-0.003650,-0.620741,-5.499700,0.000000,0.051900
57,False,False,False,False,0.000000,1.000000,0.660000,4.510000,173.379990,1.630000,12.990000,216.989990,0.798271,-0.002916,-0.003714,-0.602280,-5.499700,0.000000,0.051900
58,False,False,False,False,0.000000,1.000000,0.670000,4.620000,175.139999,1.630000,12.990000,211.569992,0.812107,-0.002824,-0.003779,-0.583490,-5.499700,0.000000,0.051900
59,False,False,False,False,0.000000,1.000000,0.680000,4.730000,176.860001,1.630000,12.990000,206.149994,0.825497,-0.002732,-0.003838,-0.564387,-5.499700,0.000000,0.051900
60,False,False,False,False,0.000000,1.000000,0.690000,4.840000,178.529999,1.630000,12.990000,200.729996,0.838438,-0.002641,-0.003898,-0.544976,-5.499700,0.000000,0.051800
61,False,False,False,False,0.000000,1.000000,0.700000,4.950000,180.159988,1.630000,12.990000,195.309998,0.850923,-0.002549,-0.003957,-0.525269,-5.499700,0.000000,0.051800
62,False,False,False,False,0.000000,1.000000,0.710000,5.060000,181.739990,1.630000,12.990000,189.889999,0.862945,-0.002452,-0.004011,-0.505276,-5.499700,0.000000,0.051800
63,False,False,False,False,0.000000,1.000000,0.720000,5.170000,183.279999,1.630000,12.990000,184.470001,0.874497,-0.002355,-0.004065,-0.485008,-5.499700,0.000000,0.051700
64,False,False,False,False,0.000000,1.000000,0.730000,5.280000,184.769989,1.630000,12.990000,179.050003,0.885574,-0.002258,-0.004114,-0.464475,-5.499700,0.000000,0.051700
65,False,False,False,False,0.000000,1.000000,0.740000,5.390000,186.220001,1.630000,12.990000,173.629990,0.896169,-0.002161,-0.004162,-0.443689,-5.499700,0.000000,0.051700
66,False,False,False,False,0.000000,1.000000,0.750000,5.500000,187.619995,1.630000,12.990000,168.209991,0.906276,-0.002058,-0.004211,-0.422660,-5.499700,0.000000,0.051600
67,False,False,False,False,0.000000,1.000000,0.760000,5.610000,188.979996,1.630000,12.990000,162.789993,0.915891,-0.001956,-0.004254,-0.401399,-5.499700,0.000000,0.051600
68,False,False,False,False,0.000000,1.000000,0.770000,5.720000,190.289993,1.630000,12.990000,157.369995,0.925007,-0.001853,-0.004297,-0.379922,-5.499700,0.000000,0.051600
69,False,False,False,False,0.000000,1.000000,0.780000,5.830000,191.559998,1.630000,12.990000,151.949997,0.933618,-0.001751,-0.004335,-0.358240,-5.499700,0.000000,0.051500
70,False,False,False,False,0.000000,1.000000,0.790000,5.940000,192.779999,1.630000,12.990000,146.529999,0.941722,-0.001648,-0.004372,-0.336359,-5.499700,0.000000,0.051500
71,True,True,False,False,0.000000,0.000000,0.790000,7.590000,192.080002,-0.440000,197.759995,-84.540001,0.948893,-0.001551,-0.004405,-0.315562,-5.280000,0.000000,0.049400
72,False,False,True,True,1.000000,0.000000,0.860000,9.240000,191.330002,7.820000,197.750000,-90.029999,0.955346,-0.001756,-0.004534,-0.295450,-5.069600,0.045400,-0.013300
73,False,False,True,True,1.000000,0.000000,1.000000,10.889999,190.529999,16.629999,197.739990,-95.529999,0.961140,-0.002269,-0.004750,-0.276012,-4.867600,0.088100,-0.077900
74,False,False,True,True,1.000000,0.000000,1.210000,12.540000,189.690002,25.439999,197.720001,-101.029999,0.966328,-0.003083,-0.005052,-0.257244,-4.673700,0.128000,-0.144200
75,False,False,True,True,1.000000,0.000000,1.500000,14.190000,188.800003,34.250000,197.690002,-106.540001,0.970962,-0.004211,-0.005430,-0.239133,-4.487600,0.165100,-0.212100
76,False,False,True,True,1.000000,0.000000,1.860000,15.839999,187.869995,43.059998,197.639999,-112.059998,0.975089,-0.005646,-0.005878,-0.221665,-4.309000,0.199300,-0.281500
77,False,False,True,True,1.000000,0.000000,2.290000,17.490000,186.889999,51.869999,197.559998,-117.589996,0.978750,-0.007388,-0.006390,-0.204822,-4.137600,0.230600,-0.352300
78,False,False,True,True,1.000000,0.000000,2.800000,19.139999,185.860001,60.680000,197.449997,-123.139999,0.981985,-0.009444,-0.006962,-0.188595,-3.973200,0.259000,-0.424300
79,False,False,True,True,1.000000,0.000000,3.380000,20.779999,184.789993,69.489998,197.300003,-128.699997,0.984829,-0.011812,-0.007582,-0.172961,-3.815400,0.284600,-0.497500
80,False,False,True,True,1.000000,0.000000,4.030000,22.420000,183.669998,78.299995,197.110001,-134.279999,0.987313,-0.014493,-0.008251,-0.157909,-3.664000,0.307300,-0.571700
81,False,False,True,True,1.000000,0.000000,4.760000,24.059999,182.500000,87.110001,196.879990,-139.879990,0.989467,-0.017487,-0.008958,-0.143419,-3.518800,0.327100,-0.646800
82,False,False,True,True,1.000000,0.000000,5.560000,25.699999,181.289993,95.919998,196.589996,-145.489990,0.991317,-0.020794,-0.009697,-0.129473,-3.379500,0.344100,-0.722700
83,False,False,True,True,1.000000,0.000000,6.430000,27.340000,180.029999,104.729996,196.239990,-151.119995,0.992887,-0.024420,-0.010463,-0.116056,-3.246000,0.358400,-0.799300
84,False,False,True,True,1.000000,0.000000,7.380000,28.969999,178.720001,113.529999,195.830002,-156.759995,0.994198,-0.028358,-0.011251,-0.103146,-3.118000,0.369900,-0.876500
85,False,False,True,True,1.000000,0.000000,8.400000,30.599998,177.369995,122.329994,195.349991,-162.419998,0.995269,-0.032609,-0.012055,-0.090727,-2.995300,0.378800,-0.954200
86,False,False,True,True,1.000000,0.000000,9.490000,32.219997,175.970001,131.119995,194.789993,-168.099991,0.996115,-0.037178,-0.012869,-0.078783,-2.877700,0.385100,-1.032300
87,False,False,True,True,1.000000,0.000000,10.660000,33.840000,174.519989,139.910004,194.149994,-173.789993,0.996752,-0.042061,-0.013689,-0.067298,-2.765100,0.388800,-1.110800
88,False,False,True,True,1.000000,0.000000,11.900000,35.450001,173.019989,148.690002,193.419998,-179.489990,0.997192,-0.047261,-0.014509,-0.056254,-2.657300,0.390000,-1.189600
89,False,False,True,True,1.000000,0.000000,13.210000,37.059998,171.479996,157.459991,192.599991,-185.199997,0.997445,-0.052775,-0.015324,-0.045637,-2.554100,0.388800,-1.268500
90,False,False,True,True,1.000000,0.000000,14.599999,38.660000,169.889999,166.220001,191.679993,-190.919998,0.997522,-0.058601,-0.016128,-0.035430,-2.455400,0.385300,-1.347600
